"idtitulo","nombre","idtipotitulo","idarea","idcarrera","tipotitulofijo","idtitulopresencial","fecha","esuniversidad","modiuniversidad","idterminal","idsubterminal","id_orientaciondiniece","anio_art_43","resolucion_art_43","en_sicer"
12794,"Especialista en Enseñanza de la Matemática","E","FODO",159,"S",0,"2015-06-08",0,0,1,1,0,0,"No Corresponde",True
12796,"Magíster en Salud Pública y Enfermedades Transmisibles","M","SAPU",156,"S",0,"2015-06-10",0,0,1,1,0,0,"No Corresponde",True
12797,"Licenciado en Medios Audiovisuales","G","ARAU",18,"S",0,"2015-06-10",0,0,1,1,0,0,"No Corresponde",True
12798,"Técnico Universitario en Protección de Incendios","TINT","ACCI",3,"S",0,"2015-06-10",0,0,1,1,0,0,"No Corresponde",True
12799,"Profesor para la Educación Inicial","G","EPRE",50,"S",0,"2015-06-10",0,0,1,1,0,0,"No Corresponde",True
12801,"Doctor en Política y Gestión de la Educación Superior","D","ADDI",68,"S",0,"2015-06-10",0,0,1,1,0,0,"No Corresponde",True
12804,"Técnico Universitario en Gestión Bancaria - MD","P","BANC",59,"S",1,"2015-06-11",0,0,1,1,0,0,"No Corresponde",True
12750,"Analista Universitario en Administración Pública - MD","P","ADDI",68,"N",1,"2015-05-06",0,0,1,1,0,0,"No Corresponde",True
12802,"Especialista en Tecnologías de la Información Geográfica (TIG)","E","GEOG",66,"S",0,"2015-06-11",0,0,1,1,0,0,"No Corresponde",True
12803,"Licenciado en Gestión del Turismo - MD","G","TURI",152,"S",1,"2015-06-11",0,0,1,1,0,0,"No Corresponde",True
12758,"Técnico Universitario en Protocolo, Ceremonial y Organización de Eventos","TI","REHU",136,"S",0,"2015-05-13",0,0,1,1,0,0,"No Corresponde",True
12765,"Licenciado en Trabajo Social - Ciclo de Complementación Curricular","CCC","SESO",151,"S",0,"2015-05-19",0,0,1,1,0,0,"No Corresponde",True
9926,"Técnico Superior en Interpretación Musical con Orientación en Piano: Música de Cámara y Repertorio Vocal","P","MUSI",114,"N",0,"2012-03-12",0,0,1,1,0,0,"No Corresponde",True
12809,"Especialista en Intervención y Gestión Gerontológica","E","GERO",157,"S",0,"2015-06-15",0,0,1,1,0,0,"No Corresponde",True
12810,"Magíster en Abogacía del Estado","M","DERE",2,"S",0,"2015-06-15",0,0,1,1,0,0,"No Corresponde",True
12811,"Doctor de la Universidad Nacional del Nordeste en el área de Recursos Naturales","D","CSNA",30,"S",0,"2015-06-15",0,0,1,1,0,0,"No Corresponde",True
12812,"Especialista en Sonido Aplicado a las Artes Digitales","E","ARAU",18,"S",0,"2015-06-15",0,0,1,1,0,0,"No Corresponde",True
12813,"Técnico Universitario en Gestión y Administración Contable","TI","ADDI",68,"S",0,"2015-06-16",0,0,1,1,0,0,"No Corresponde",True
12814,"Magíster en Catastro Territorial","M","AGRI",12,"S",0,"2015-06-16",0,0,1,1,0,0,"No Corresponde",True
12792,"Licenciado en Administración de Empresas de Turismo","CCC","ADDI",68,"N",0,"2015-06-05",0,0,1,1,0,0,"No Corresponde",True
12806,"Ciclo Básico de Formación- Ingeniero Químico","CC","INQU",95,"S",0,"2015-06-12",0,0,2,22,0,0,"No Corresponde",True
12775,"Diplomado Superior en Gestión y Conducción del Sistema Educativo y sus Instituciones - MD","F","ADDI",68,"S",1,"2015-05-20",0,0,1,1,0,0,"No Corresponde",True
12718,"Doctor en Alimentos - Orientación Ingeniería","D","TEAL",145,"S",0,"2015-04-13",0,0,1,1,0,0,"No Corresponde",True
12720,"Técnico Universitario en Mantenimiento Industrial del Sector Automotriz - MD","P","SEIN",70,"S",1,"2015-04-13",0,0,1,1,0,0,"No Corresponde",True
12722,"Profesor En Educación Secundaria y Superior en Ciencias de la Administración","G","FODO",162,"S",0,"2015-04-15",0,0,1,1,0,0,"No Corresponde",True
12727,"Especialista en Biotecnología Bioquímico Farmacéutica","E","BIOQ",25,"S",0,"2015-04-17",0,0,1,1,0,0,"No Corresponde",True
7672,"Técnico Universitario en Enfermería","P","ENFE",54,"N",0,"2010-12-31",0,0,1,1,0,0,"No Corresponde",True
12746,"Licenciado en Comunicación Social, Orientación Relaciones Industriales","G","COSO",35,"S",0,"2015-05-05",0,0,1,1,0,0,"No Corresponde",True
12751,"Licenciado en Administración Pública - MD","G","ADDI",68,"S",1,"2015-05-06",0,0,1,1,0,0,"No Corresponde",True
12754,"Técnico Universitario en Administración y Gestión de Políticas Públicas - MD","P","ADDI",68,"S",1,"2015-05-06",0,0,1,1,0,0,"No Corresponde",True
12759,"Magíster en Política y Economía Internacionales","M","CSPO",28,"S",0,"2015-05-13",0,0,1,1,0,0,"No Corresponde",True
12761,"Especialista en Fundamentos de Psicoanálisis","E","PSIC",128,"S",0,"2015-05-18",0,0,1,1,0,0,"No Corresponde",True
12767,"Profesor Superior de Piano","G","FODO",161,"S",0,"2015-05-20",0,0,1,1,0,0,"No Corresponde",True
12779,"Especialista en Comunicación Social, Periodismo y Género","E","COSO",35,"S",0,"2015-05-22",0,0,1,1,0,0,"No Corresponde",True
12783,"Obstetra - Profesor","CP","MEDI",117,"S",0,"2015-05-26",0,0,1,1,0,0,"No Corresponde",True
12642,"Técnico en Higiene y Seguridad en el Trabajo - MD","TINT","SEIN",70,"N",1,"2014-10-10",0,0,1,1,0,0,"No Corresponde",True
12795,"Especialista en Enseñanza de la Biología","E","FODO",159,"S",0,"2015-06-08",0,0,1,1,0,0,"No Corresponde",True
12816,"Especialista en Psicología y Psicoanálisis de los Vínculos. Orientación Abordajes Vinculares","E","PSIC",128,"S",0,"2015-06-18",0,0,1,1,0,0,"No Corresponde",True
265,"Analista Programador en Computación","TI","INFO",1,"S",0,"2010-12-31",0,0,1,1,0,0,"No Corresponde",True
12728,"Especialista en Docencia Universitaria en Ciencias Económicas","E","FODO",162,"S",1,"2015-04-17",0,0,1,1,0,0,"No Corresponde",True
534,"Comunicador Social","G","COSO",35,"N",0,"2010-12-31",0,0,1,1,0,0,"No Corresponde",True
12747,"Licenciado en Comunicación Social, Orientación Relaciones Públicas","G","COSO",35,"S",0,"2015-05-05",0,0,1,1,0,0,"No Corresponde",True
12768,"Profesor Superior de Violín","G","FODO",161,"S",0,"2015-05-20",0,0,1,1,0,0,"No Corresponde",True
12780,"Especialista en Arquitectura y Hábitat Sustentable","E","ARQU",17,"S",0,"2015-05-22",0,0,1,1,0,0,"No Corresponde",True
12817,"Técnico Universitario en Seguridad Pública y Ciudadana orientada a la Investigación Criminal","P","CRIM",39,"S",0,"2015-06-18",0,0,1,1,0,0,"No Corresponde",True
12821,"Licenciado en Administración de Recursos Humanos - Profesor","CP","FODO",161,"S",0,"2015-06-19",0,0,1,1,0,0,"No Corresponde",True
12824,"Técnico Universitario en Comunicación para el Desarrollo Social","TI","COSO",35,"S",0,"2015-06-22",0,0,1,1,0,0,"No Corresponde",True
12825,"Especialista en Kinesiología y Fisioterapia Neurológica","E","KINE",102,"S",0,"2015-06-22",0,0,1,1,0,0,"No Corresponde",True
325,"Técnico en Hidrología Subterránea","TI","HIDR",30,"S",0,"2010-12-31",0,0,1,1,0,0,"No Corresponde",True
12827,"Magister en Derecho Público","M","DERE",40,"S",0,"2015-06-23",0,0,1,1,0,0,"No Corresponde",True
12828,"Técnico en Negocios en Internet","P","COME",31,"S",0,"2015-06-23",0,0,1,1,0,0,"No Corresponde",True
12829,"Doctor en Humanidades (Area Sociología Rural)","D","SOCI",143,"S",0,"2015-06-23",0,0,1,1,0,0,"No Corresponde",True
12830,"Licenciado en Administración de Sistemas y Empresas","G","ADDI",68,"S",0,"2015-06-24",0,0,1,1,0,0,"No Corresponde",True
12831,"Licenciado en Turismo y Desarrollo Local","G","TURI",152,"S",0,"2015-06-24",0,0,1,1,0,0,"No Corresponde",True
12352,"Especialista en Políticas Públicas de Seguridad","E","CSPO",28,"S",0,"2014-06-16",0,0,1,1,0,0,"No Corresponde",True
12832,"Magíster en Ingeniería de Sistemas Embebidos","M","INSI",84,"S",0,"2015-06-29",0,0,1,1,0,0,"No Corresponde",True
12833,"Licenciado en Tecnología de la Información - Ciclo de Licenciatura","CL","SIST",34,"S",0,"2015-06-30",0,0,1,1,0,0,"No Corresponde",True
12834,"Técnico Universitario en Emergencia Prehospitalaria, Rescate y Trauma","TI","SAPU",1,"S",0,"2015-07-01",0,0,1,1,0,0,"No Corresponde",True
12835,"Técnico/a Universitario/a en Farmacia Hospitalaria","P","FARM",57,"S",0,"2015-07-01",0,0,1,1,0,0,"No Corresponde",True
12839,"Técnico Universitario en Desarrollo de Aplicaciones Informáticas","TI","INFO",34,"S",0,"2015-07-01",0,0,1,1,0,0,"No Corresponde",True
12840,"Magíster en Farmacia","M","FARM",57,"S",0,"2015-07-02",0,0,1,1,0,0,"No Corresponde",True
12743,"Licenciado en Geología con Orientación en Geología Bioestratigráfica","G","GEOL",67,"S",0,"2015-04-30",0,0,1,1,0,2008,"1412",True
15368,"Técnico Químico Orientación Laboratorista","SE","SA",1,"S",0,"2019-11-04",0,0,1,1,4,0,"No Corresponde",True
12844,"Técnico en Gestión y Mediación Cultural","TI","ADDI",68,"S",1,"2015-07-06",0,0,1,1,0,0,"No Corresponde",True
12845,"Técnico Universitario en Administración de Instituciones Estatales","P","ADDI",68,"S",0,"2015-07-07",0,0,1,1,0,0,"No Corresponde",True
12846,"Traductor Público en Italiano","G","OTID",101,"S",0,"2015-07-07",0,0,1,1,0,0,"No Corresponde",True
12847,"Magister en Ciencia y Tecnología de Agroalimentos","M","TEAL",145,"S",0,"2015-07-07",0,0,1,1,0,0,"No Corresponde",True
12855,"Ingeniero en Acuicultura","G","BIOL",24,"S",0,"2015-07-10",0,0,1,1,0,0,"No Corresponde",True
12863,"Licenciado en Gestión del Deporte - Ciclo de Complementación Curricular","CCC","EFIS",49,"S",0,"2015-07-10",0,0,1,1,0,0,"No Corresponde",True
12864,"Especialista en Ingeniería Bioenergética","E","ENER",88,"S",0,"2015-07-13",0,0,1,1,0,0,"No Corresponde",True
12866,"Licenciado en Musicología Crítica, Teoría y Cognición Musical","G","MUSI",114,"S",0,"2015-07-14",0,0,1,1,0,0,"No Corresponde",True
12869,"Técnico Administrativo en Producción Regional","P","ADDI",68,"S",0,"2015-07-14",0,0,1,1,0,0,"No Corresponde",True
12870,"Técnico Universitario en Contabilidad -MD","TINT","CONT",37,"S",1,"2015-07-15",0,0,1,1,0,0,"No Corresponde",True
12875,"Magister en Urbanismo","M","ARQU",17,"S",0,"2015-07-17",0,0,1,1,0,0,"No Corresponde",True
12878,"Magíster en Seguridad Pública","M","CRIM",39,"S",0,"2015-07-17",0,0,1,1,0,0,"No Corresponde",True
12879,"Especialista en Cirugía Plástica y Reparadora","E","MEDI",110,"S",0,"2015-07-20",0,0,1,1,0,0,"No Corresponde",True
12880,"Especialista en Psicopedagogía Escolar","E","PSPE",129,"S",0,"2015-07-20",0,0,1,1,0,0,"No Corresponde",True
12881,"Licenciado en Gestión del Turismo - MD - Ciclo de Complementación Curricular","CCC","TURI",152,"S",1,"2015-07-21",0,0,1,1,0,0,"No Corresponde",True
12882,"Técnico Universitario en Higiene y Seguridad Laboral","TINT","SEIN",70,"S",0,"2015-07-21",0,0,1,1,0,0,"No Corresponde",True
12883,"Profesor Universitario de Computación","G","FODO",158,"S",0,"2015-07-22",0,0,1,1,0,0,"No Corresponde",True
12884,"Especialista en Prevención del Conflicto Jurídico en la Pequeña y Mediana Empresa","E","DERE",40,"S",0,"2015-07-22",0,0,1,1,0,0,"No Corresponde",True
12885,"Licenciado en Gestión de las Organizaciones Productivas","G","ADDI",68,"S",0,"2015-07-23",0,0,1,1,0,0,"No Corresponde",True
12887,"Técnico en Administración Superior","TINT","CONT",37,"S",0,"2015-07-24",0,0,1,1,0,0,"No Corresponde",True
12888,"Técnico en Medios de Comunicación Social","TINT","COSO",35,"S",0,"2015-07-29",0,0,1,1,0,0,"No Corresponde",True
12889,"Licenciado en Tecnologías Aplicadas al Arte Sonoro","G","MUSI",114,"S",0,"2015-07-29",0,0,1,1,0,0,"No Corresponde",True
12890,"Profesor de Comunicación Educativa","G","COSO",35,"S",0,"2015-07-29",0,0,1,1,0,0,"No Corresponde",True
12891,"Licenciado en Geografía - Ciclo de Licenciatura - MD","CL","GEOG",66,"S",1,"2015-07-30",0,0,1,1,0,0,"No Corresponde",True
12895,"Técnico Universitario en Prevención de las Adicciones - MD","TI","PSIC",128,"S",1,"2015-07-31",0,0,1,1,0,0,"No Corresponde",True
12896,"Licenciado en Canto Lírico","G","MUSI",114,"S",0,"2015-07-31",0,0,1,1,0,0,"No Corresponde",True
12897,"Profesor Universitario de Educación Especial","G","EDES",48,"S",0,"2015-07-31",0,0,1,1,0,0,"No Corresponde",True
12899,"Licenciado/a en Hotelería","G","TURI",152,"S",0,"2015-08-03",0,0,1,1,0,0,"No Corresponde",True
6808,"Traductor Literario y Científico Técnico de Inglés","TI","INGL",99,"N",0,"2010-12-31",0,0,1,1,0,0,"No Corresponde",True
12901,"Profesor Universitario en Música","G","MUSI",114,"S",0,"2015-08-06",0,0,1,1,0,0,"No Corresponde",True
12843,"Técnico en Gestión y Mediación Cultural - MD","TI","ADDI",68,"S",1,"2015-07-03",0,0,1,1,0,0,"No Corresponde",True
12729,"Especialista en Estética Dental y Diseño Dinámico de la Sonrisa","E","ODON",118,"S",0,"2015-04-17",0,0,1,1,0,0,"No Corresponde",True
15369,"Técnico Químico Orientación Industrial","SE","SA",1,"S",0,"2019-11-04",0,0,1,1,4,0,"No Corresponde",True
12822,"Licenciado en Enfermería - Profesor","CP","FODO",160,"S",0,"2015-06-19",0,0,1,1,0,0,"No Corresponde",True
9004,"Especialista en Gestión de Logística Integrada","E","IGER",68,"N",0,"2011-05-30",0,0,1,1,0,0,"No Corresponde",True
12836,"Técnico/a Universitario/a en Información Clínica y Gestión de Pacientes","P","ENFE",54,"S",0,"2015-07-01",0,0,1,1,0,0,"No Corresponde",True
12849,"Técnico en Diseño en Comunicación Visual","P","DISE",42,"S",0,"2015-07-07",0,0,1,1,0,0,"No Corresponde",True
15024,"Bachiller con Orientación en Arte","SE","SA",1,"S",0,"2019-05-14",0,0,1,1,6,0,"No Corresponde",True
482,"Licenciado en Organización y Técnica Bancaria","G","ORTB",1,"S",0,"2010-12-31",0,0,1,1,0,0,"No Corresponde",True
12865,"Especialista en Ingeniería Bionergética","E","ENER",88,"S",0,"2015-07-13",0,0,1,1,0,0,"No Corresponde",True
12867,"Licenciado en Música Cinematográfica","G","MUSI",114,"S",0,"2015-07-14",0,0,1,1,0,0,"No Corresponde",True
12871,"Técnico Universitario en Administración de Pequeñas y Medianas Empresas","P","ADDI",68,"S",0,"2015-07-15",0,0,1,1,0,0,"No Corresponde",True
12876,"Especialista en Diseño Estructural de Obras de Arquitectura","E","ARQU",17,"S",0,"2015-07-17",0,0,1,1,0,0,"No Corresponde",True
12886,"Analista Universitario en Gestión de las Organizaciones Productivas","TINT","ADDI",68,"S",0,"2015-07-23",0,0,1,1,0,0,"No Corresponde",True
12892,"Licenciado en Emprendimiento Turístico y Gestión Hotelera","G","TURI",152,"S",0,"2015-07-30",0,0,1,1,0,0,"No Corresponde",True
12894,"Técnico Universitario en Tasación, Martillero Público y Corredor","TI","MAPU",108,"S",0,"2015-07-30",0,0,1,1,0,0,"No Corresponde",True
12900,"Licenciado/a en Turismo","G","TURI",152,"S",0,"2015-08-03",0,0,1,1,0,0,"No Corresponde",True
12873,"Licenciado en Educación, Políticas Públicas y Organizaciones del Campo Pedagógico - Ciclo de Complementación Curricular","CCC","CSED",29,"S",0,"2015-07-16",0,0,1,1,0,0,"No Corresponde",True
12874,"Licenciado en Pedagogía, Nuevas Infancias y Alfabetizaciones - Ciclo de Complementación Curricular","CCC","CSED",29,"S",0,"2015-07-16",0,0,1,1,0,0,"No Corresponde",True
12730,"Especialista en Gestión Pública por Resultados","E","ADDI",68,"S",0,"2015-04-17",0,0,1,1,0,0,"No Corresponde",True
12770,"Especialista en Odontología Social y Comunitaria","E","ODON",118,"S",0,"2015-05-20",0,0,1,1,0,0,"No Corresponde",True
10441,"Magister en Organización y Gestión Educativa","M","CSED",29,"S",0,"2012-06-01",0,0,1,1,0,0,"No Corresponde",True
12862,"Ingeniero Espacial","G","INAE",72,"S",0,"2015-07-10",0,0,2,19,0,0,"No Corresponde",True
12837,"Licenciado/a en Ciencias Agrarias","G","AGAG",126,"S",0,"2015-07-01",0,0,1,1,0,0,"No Corresponde",True
12850,"Técnico Superior Universitario en Comunicación Digital","P","COSO",35,"S",0,"2015-07-07",0,0,1,1,0,0,"No Corresponde",True
18014,"Magíster en Teología Bíblica - MD","M","TEOL",148,"S",1,"2025-03-17",0,0,1,1,0,0,"No Corresponde",True
12857,"Ingeniero en Aplicaciones Nucleares","G","INNU",88,"S",0,"2015-07-10",0,0,1,1,0,0,"No Corresponde",True
12868,"Licenciado en Música Popular","G","MUSI",114,"S",0,"2015-07-14",0,0,1,1,0,0,"No Corresponde",True
12877,"Licenciado en Gestión Sustentable de las Agrocadenas - Ciclo de Licenciatura","CL","AGAG",126,"S",0,"2015-07-17",0,0,1,1,0,0,"No Corresponde",True
12903,"Licenciado en Tecnología de Alimentos -Ciclo de Licenciatura","CL","TEAL",145,"S",0,"2015-08-14",0,0,1,1,0,0,"No Corresponde",True
12904,"Licenciado en Comunicación Social Orientación Publicidad y Comunicación Institucional","G","COSO",35,"S",0,"2015-08-18",0,0,1,1,0,0,"No Corresponde",True
12906,"Magister en Coaching y Cambio Organizacional","M","ADDI",68,"S",0,"2015-08-19",0,0,1,1,0,0,"No Corresponde",True
12907,"Especialista en Administración de Organizaciones del Sector Cultural y Creativo","E","ADDI",68,"S",0,"2015-08-19",0,0,1,1,0,0,"No Corresponde",True
12912,"Técnico Superior Universitario en Construcciones","P","ARQU",36,"S",0,"2015-08-21",0,0,1,1,0,0,"No Corresponde",True
12648,"Licenciado en Gestión Educativa - Ciclo de Complementación Curricular","CCC","CSED",1,"N",0,"2014-10-22",0,0,1,1,0,0,"No Corresponde",True
676,"Traductor Jurídico (Idioma Francés)","G","FRAN",1,"S",0,"2010-12-31",0,0,1,1,0,0,"No Corresponde",True
12917,"Magister en Desarrollo Informaticos de Aplicacion Espacial","M","SIST",1,"S",0,"2015-08-26",0,0,1,1,0,0,"No Corresponde",True
12918,"Licenciado en Artes Digitales","G","ARAU",1,"S",0,"2015-08-26",0,0,1,1,0,0,"No Corresponde",True
12909,"Profesor en Comunicación Educativa","G","FODO",162,"S",0,"2015-08-20",0,0,1,1,0,0,"No Corresponde",True
12910,"Licenciado en Arte Escénico con orientación alternativa en Danza","G","TEDA",144,"S",0,"2015-08-20",0,0,1,1,0,0,"No Corresponde",True
12921,"Profesor/a Universitario/a en Ciencias Agrarias","G","FODO",158,"S",0,"2015-08-27",0,0,1,1,0,0,"No Corresponde",True
12922,"Licenciado en Gestión de las Organizaciones y Recursos Humanos","G","ADDI",68,"S",0,"2015-08-27",0,0,1,1,0,0,"No Corresponde",True
12923,"Licenciado en Producción y Gestión Agropecuaria","G","AGAG",6,"S",0,"2015-08-27",0,0,1,1,0,0,"No Corresponde",True
12924,"Técnico Universitario en Intervención Social","TINT","SESO",142,"S",0,"2015-08-27",0,0,1,1,0,0,"No Corresponde",True
12925,"Licenciado en Gestión de Recursos Humanos y Relaciones Laborales","G","RELA",138,"S",0,"2015-08-28",0,0,1,1,0,0,"No Corresponde",True
12926,"Asistente en Ingeniería en Transporte","TINT","IVCO",106,"S",0,"2015-08-28",0,0,1,1,0,0,"No Corresponde",True
12927,"Técnico en Publicidad y Propaganda","TINT","COSO",130,"S",0,"2015-08-28",0,0,1,1,0,0,"No Corresponde",True
12928,"Licenciado en Ciencias de la Educación - Ciclo de Licenciatura - MD","CL","CSED",29,"S",1,"2015-09-01",0,0,1,1,0,0,"No Corresponde",True
12929,"Magíster en Teatro y Artes Performáticas","M","TEDA",144,"S",0,"2015-09-01",0,0,1,1,0,0,"No Corresponde",True
12913,"Licenciado en Enfermería - Ciclo de Complementación Curricular","CCC","ENFE",1,"S",0,"2015-08-26",0,0,1,1,0,0,"No Corresponde",True
12931,"Profesor de Enseñanza Secundaria, Normal y Especial en Matemáticas","G","FODO",159,"S",0,"2015-09-02",0,0,1,1,0,0,"No Corresponde",True
12932,"Químico Industrial","P","QUIM",131,"S",0,"2015-09-03",0,0,1,1,0,0,"No Corresponde",True
704,"Traductor Jurídico (Idioma Inglés)","G","INGL",1,"S",0,"2010-12-31",0,0,1,1,0,0,"No Corresponde",True
12936,"Técnico Medio en Producción Agropecuaria","P","AGAG",6,"S",0,"2015-09-08",0,0,1,1,0,0,"No Corresponde",True
12937,"Técnico Universitario en Producción de Medios Audiovisuales","P","ARAU",18,"S",0,"2015-09-09",0,0,1,1,0,0,"No Corresponde",True
12939,"Especialista en Derecho Procesal con orientación en: Derecho Procesal Civil","E","DERE",40,"S",0,"2015-09-09",0,0,1,1,0,0,"No Corresponde",True
12944,"Licenciado en Canto Popular","G","MUSI",114,"S",0,"2015-09-10",0,0,1,1,0,0,"No Corresponde",True
718,"Traductor Jurídico (Idioma Italiano)","G","OTID",1,"S",0,"2010-12-31",0,0,1,1,0,0,"No Corresponde",True
12945,"Licenciado en Interpretación Instrumental","G","MUSI",114,"S",0,"2015-09-10",0,0,1,1,0,0,"No Corresponde",True
12946,"Técnico Universitario en Administración y Gestión Tributaria - MD","TI","ADDI",68,"S",1,"2015-09-11",0,0,1,1,0,0,"No Corresponde",True
12948,"Técnico Universitario en Diseño Editorial y Multimedial","P","DISE",42,"S",0,"2015-09-14",0,0,1,1,0,0,"No Corresponde",True
12952,"Doctor de la Universidad Nacional de Quilmes en Ciencias Sociales","D","CSOC",143,"S",0,"2015-09-15",0,0,1,1,0,0,"No Corresponde",True
12954,"Doctor de la Universidad Nacional de Quilmes en Ciencias Sociales y Humanas","D","SA",1,"S",0,"2015-09-16",0,0,1,1,0,0,"No Corresponde",True
