"idinstitucion","cuit","nombre","nombre_corto","tipo","jurisdiccion","sigla","idpadreinstitucion","casillacorreo","clasificacion","regimen","observaciones","esuniversidad","modiuniversidad","email","web","cue","facebook","twitter","vigencia_hasta","solo_guia","nivelcpres","en_cpres","idnivel","en_sicer","prefijo","telefono1","telefono2"
3908,NULL,"CEYFE - Camilo Aldao",NULL,"UA","N","",55,"",NULL,"PU",NULL,0,0,"","",NULL,"","",2018,1,1,False,3,False,"0385","4509500",""
3909,NULL,"CEYFE - Catamarca",NULL,"UA","N","",55,"",NULL,"PU",NULL,0,0,"","",NULL,"","",2018,1,1,False,3,False,"0385","4509500",""
4106,NULL,"Facultad de Medicina - Extensión Áulica Monte Caseros",NULL,"UA","N","",49,"",NULL,"PU",NULL,0,0,"secretaria_extension@med.unne.edu.ar","https://med.unne.edu.ar/index.php/carreras/kinesiologia/",NULL,"","",9999,0,1,False,4,True,"0379","4422290",""
922,"","Instituto Universitario CEMIC","CEMIC","IU","N","IUC",0,"","","PR","",0,0,"iuc@iuc.edu.ar","www.iuc.edu.ar",NULL,"www.facebook.com/institutouniversitariocemic","www.twitter.com/IUCemic",9999,0,1,True,1,True,"","52990900",""
4109,NULL,"Clínica Privada Dres. Marcelo S. Tachella",NULL,"UA","N","",33,"",NULL,"PU",NULL,0,0,"doeinfo@rec.uba.ar","www.fmed.uba.ar",NULL,"","",9999,0,1,False,4,True,"011","52855000",NULL
510,"","Facultad de Ciencias Sociales y Asistenciales Pío XII","","UA","N","",68,"","","PR","",0,0,"seccionacademica@uccuyo.edu.ar","www.uccuyo.edu.ar","077406719","","",1996,0,1,True,2,True,NULL,NULL,NULL
265,"","Facultad de Bellas Artes","","UA","N","FBA",43,"","","PU","",0,0,"academica@fba.unlp.edu.ar","www.fba.unlp.edu.ar","070602512","","",2018,0,1,True,2,True,NULL,NULL,NULL
4190,NULL,"Universidad Nacional del Delta","Delta","U","N","UNDEL",0,"1646",NULL,"PU",NULL,0,0,"nodisponible@nodisponible.com","","","","",9999,0,1,False,1,False,NULL,NULL,NULL
4193,NULL,"Universidad Nacional de Río Tercero","Río Tercero","U","N","UNRT",0,"5850",NULL,"PU",NULL,0,0,"nodisponible@nodisponible.com","","","","",9999,0,1,False,1,False,NULL,NULL,NULL
2473,"","Unidad Académica Sede Valle Medio","","UA","N","Sede V. Medio",2459,"","","PU","",0,0,"gralroca@unrn.edu.ar","www.unrn.edu.ar","076203501","","",2017,0,1,True,2,True,NULL,NULL,NULL
589,"","Facultad de Arquitectura","","UA","N","UP",96,"","","PR","",0,0,"informes@palermo.edu","www.palermo.edu","070208505","","",2023,0,1,True,2,True,"011","5199-4500",""
2286,"","Centro Regional del Rio Parana (Santa Fe)","","UA","N","CRSF",74,"-","","PR","",0,0,"ies@esba.edu.ar","www.ucu.edu.ar",NULL,NULL,NULL,2011,0,1,True,3,True,NULL,NULL,NULL
2187,"","Sara Faisal","","UA","N","",74,"","","PR","",0,0,"info@ucu.edu.ar","www.ucu.edu.ar",NULL,NULL,NULL,2005,0,1,True,4,True,NULL,NULL,NULL
2476,"","Unidad Académica Alto Valle","","UA","N","Sede A.Valle",2459,"","","PU","",0,0,"gralroca@unrn.edu.ar","www.unrn.edu.ar","076203504","","",2017,0,1,True,2,True,NULL,NULL,NULL
2190,"","San José","","UA","N","",74,"","","PR","",0,0,"info@ucu.edu.ar","www.ucu.edu.ar",NULL,NULL,NULL,2011,0,1,True,4,True,NULL,NULL,NULL
2184,"","Unidad Académica Arequito","","UA","N","",74,"","","PR","",0,0,"info@ucu.edu.ar","www.ucu.edu.ar",NULL,NULL,NULL,2008,0,1,True,4,True,NULL,NULL,NULL
4103,NULL,"Escuela Universitaria de Teología y Filosofía",NULL,"UA","N","",70,"",NULL,"PR",NULL,0,0,"csinghmesconi@ucasal.edu.ar","https://ucasal.edu.ar/",NULL,"","",9999,0,1,False,2,True,"0387","4268800",""
4069,NULL,"Facultad Militar Conjunta",NULL,"UA","N","",3074,"",NULL,"PU",NULL,0,0,"secretariadealumnosesgc@gmail.com","http://www.esgcffaa.edu.ar/esp/  http://www.fuerzas-armadas.mil.ar/iif","070213437","","",9999,0,1,False,2,True,"011","43468600",""
293,"","Centro Regional Campana","","UA","N","",46,"","","PU","",0,0,"crcdirec@unlu.edu.ar","http://www.unlu.edu.ar/","070602902","","",9999,0,1,True,2,True,"543489","425934","438069"
423,"","Facultad de Arquitectura y Urbanismo","","UA","N","",58,"","","PU","",0,0,"info@unt.edu.ar","www.herrera.unt.edu.ar/fauunt/","079004302","","",9999,0,1,True,2,True,"0381","4364093",""
380,"","Departamento de Agronomía","","UA","N","",56,"8000","","PU","",0,0,"agronomia@uns.edu.ar","www.uns.edu.ar","070605301","","",9999,0,1,True,2,True,"0291","4595102",""
3241,NULL,"Escuela de Agricultura y Ganadería ""Ingeniero Agrónomo Adolfo Joaquín Zabala"" - Secundaria",NULL,"PRE","N","EAyG",56,"",NULL,"PU",NULL,0,0,"agricu@uns.edu.ar","http://www.uns.edu.ar/escuelas/agricultura","070605349","","",9999,0,1,True,2,True,"0291","4566133/34",""
3225,NULL,"Escuela de Adultos de la Universidad Nacional de Quilmes",NULL,"PRE","N","",84,"",NULL,"PU",NULL,0,0,"informacion@unq.edu.ar","http://www.unq.edu.ar","070603307","","",9999,0,1,True,2,True,"011","43657100",""
3284,NULL,"Escuela Secundaria Técnica de la Universidad Nacional de Quilmes",NULL,"PRE","N","",84,"",NULL,"PU",NULL,0,0,"informacion@unq.edu.ar","http://www.unq.edu.ar","070603308","","",9999,0,1,True,2,True,"011","43657100",""
3463,NULL,"Facultad de Humanidades y Ciencias Económicas",NULL,"UA","N","",32,"",NULL,"PR",NULL,0,0,"infoucamendoza@uca.edu.ar","http://uca.edu.ar/es/facultades/facultad-de-humanidades-y-ciencias-economicas","075006243","","",9999,0,1,False,2,True,"011","08102200822",""
2815,"","Facultad de Ingeniería y Ciencias Agropecuarias","","UA","N","",54,"","","PU","",0,0,"ingresofica@gmail.com","https://carreras.unsl.edu.ar/facultades/fica/1","077403913","","",9999,0,1,True,2,True,"2657","531000",""
2167,"","Instituto Universitario Escuela de Medicina del Hospital Italiano - UA","","UA","N","FIUEMHI",2114,"","","PR","",0,0,"instituto.universitario@hospitalitaliano.org.ar","https://www1.hospitalitaliano.org.ar/#!/edu/home/principal/inicio","070210101","https://www.facebook.com/IUHIBA/","https://twitter.com/IUHIBA?lang=es",9999,0,1,True,2,True,"011","49590200 Int. 9460",""
3267,NULL,"Departamento de Formación General",NULL,"UA","P","FG",3153,"",NULL,"PU",NULL,0,0,"formaciongeneral@iupa.edu.ar","www.iupa.edu.ar","076214404","","",9999,0,1,True,3,True,"298","4432889",""
3204,NULL,"Colegio de la Universidad Nacional de La Pampa",NULL,"PRE","N","",41,"",NULL,"PU",NULL,0,0,"divestudiantescolegiounlpam@humanas.unlpam.edu.ar","http://web.humanas.unlpam.edu.ar/wordpress/colunlpam/","074202200","","",9999,0,1,True,3,True,"02954","437744",""
3212,NULL,"Escuela de Bellas Artes y de Artes Decorativas e Industriales ""Maestro Atilio Terragni""",NULL,"PRE","N","",58,"",NULL,"PU",NULL,0,0,"contacto@eba.unt.edu.ar","http://eba.unt.edu.ar/","079004339","","",9999,0,1,True,2,True,"0381","4527553",""
3220,NULL,"Gymnasium de la Universidad Nacional de Tucumán",NULL,"PRE","N","",58,"",NULL,"PU",NULL,0,0,"patriciasily@hotmail.com","https://cecgymnasium.wixsite.com/","079004329","","",9999,0,1,True,2,True,"0381","4215375",""
3256,NULL,"Colegio Preuniversitario General San Martín",NULL,"PRE","N","",61,"",NULL,"PU",NULL,0,0,"cpugsm@unlar.edu.ar","http://cpugsm.unlar.edu.ar/","074602600","","",9999,0,1,True,2,True,"0380","4457000",""
4013,NULL,"Localización Perico",NULL,"UA","N","",40,"",NULL,"PU",NULL,0,0,"academica@fca.unju.edu.ar","http://www.fca.unju.edu.ar/","073802013","","",9999,0,1,False,4,True,"","0388","6863223"
64,"","Instituto Tecnológico de Buenos Aires","ITBA","IU","N","ITBA",0,"E..M","","PR","",0,0,"sac_operaciones@itba.edu.ar","http://www.itba.edu.ar",NULL,"","",9999,0,1,True,1,True,"","08102224822",""
52,"","Universidad Nacional de Salta","Salta","U","N","UNSa",0,"","","PU","",0,0,"info@unsa.edu.ar","http://www.unsa.edu.ar/",NULL,"","",9999,0,1,True,1,True,"0387","4255427","4255428"
4107,NULL,"Departamento de Educación a Distancia",NULL,"UA","N","EaD",74,"",NULL,"PR",NULL,0,0,"ead@ucu.edu.ar","www.ucu.edu.ar",NULL,"","",9999,0,1,False,2,True,"3442","425606 Int. 202","427721 Int. 202"
2486,"","Departamento Académico Escuela de Oficiales","","UA","N","ECAD",2157,"","","PU","",0,0,"informes@iusm.edu.ar","https://iusm.edu.ar/","070600502","","",9999,0,1,True,2,True,"03487","438013","428014"
3910,NULL,"CEYFE - Córdoba",NULL,"UA","N","",55,"",NULL,"PU",NULL,0,0,"","",NULL,"","",2018,1,1,False,3,False,"0385","4509500",""
3911,NULL,"CEYFE - Dean Funes",NULL,"UA","N","",55,"",NULL,"PU",NULL,0,0,"","",NULL,"","",2018,1,1,False,3,False,"0385","4509500",""
3912,NULL,"CEYFE - Esquel",NULL,"UA","N","",55,"",NULL,"PU",NULL,0,0,"","",NULL,"","",2018,1,1,False,3,False,"0385","4509500",""
4082,NULL,"Expansión Académica San Pedro",NULL,"UA","N","",40,"",NULL,"PU",NULL,0,0,"academica.easp@gmail.com","http://www.sedesanpedro.unju.edu.ar/","073802016","","",9999,0,1,False,4,True,"0388","4394357","4394357"
2189,"","Villa Ocampo","","UA","N","",74,"","","PR","",0,0,"info@ucu.edu.ar","www.ucu.edu.ar",NULL,NULL,NULL,2003,0,1,True,4,True,NULL,NULL,NULL
4110,NULL,"Sede Salto",NULL,"UA","N","",33,"",NULL,"PU",NULL,0,0,"sedesalto@cbc.uba.ar","https://www.cbc.uba.ar/",NULL,"","",9999,0,1,False,4,True,"011","52855000",NULL
4111,NULL,"Sede Scholas",NULL,"UA","N","",33,"",NULL,"PU",NULL,0,0,"doeinfo@rec.uba.ar","https://www.cbc.uba.ar/",NULL,"","",9999,0,1,False,4,True,"011","52855000",NULL
4108,NULL,"Centro Gallego de Buenos Aires",NULL,"UA","N","",33,"",NULL,"PU",NULL,0,0,"doeinfo@rec.uba.ar","www.fmed.uba.ar",NULL,"","",9999,0,1,False,4,True,"011","52855000",NULL
2571,"","Facultad de Ciencias Jurídicas y Sociales","","UA","N","UCEL",104,"2000","","PR","",0,0,"secadministrativa@ucel.edu.ar","www.ucel.edu.ar","078209103","","",9999,0,1,True,2,True,"341","4499292",""
3304,NULL,"Escuela de Desarrollo Productivo y Tecnológico",NULL,"UA","N","",3123,"",NULL,"PU",NULL,0,0,"alumnos@unsada.edu.ar","https://www.unsada.edu.ar/","070612000","","",9999,0,1,True,2,True,"02326","421167",""
2926,NULL,"Facultad de Desarrollo Local y Regional","","UA","P","",2899,"",NULL,"PU",NULL,0,0,"info@upso.edu.ar","www.upso.edu.ar","070605603","","",9999,0,1,True,2,True,"2923","475693",""
2871,"","Escuela de Gestion de Empresas y Economia","","UA","N","EGEE",2631,"info","","PU","",0,0,"escgestioneye@unvime.edu.ar","www.unvime.edu.ar/escuela-de-gestion-de-empresas-y-economia/","077404502","","",9999,0,1,True,2,True,"2657","354611",""
3981,NULL,"Universidad del Gran Rosario","Gran Rosario","U","N","",0,"",NULL,"PR",NULL,0,0,"estadistica@ugr.edu.ar","http://www.ugr.edu.ar/","","","",9999,0,1,False,1,False,"0341","4838100",""
4118,NULL,"Facultad de Psicología - Rosario",NULL,"UA","N","",71,"",NULL,"PR",NULL,0,0,"rosario@ucsf.edu.ar","https://www.ucsf.edu.ar/facultades/psicologia/",NULL,"","",9999,0,1,False,3,True,"341","4226330",""
4125,NULL,"Facultad de Filosofía y Humanidades - Gualeguaychú",NULL,"UA","N","",71,"",NULL,"PR",NULL,0,0,"ffyh@ucsf.edu.ar","https://www.ucsf.edu.ar/facultades/filosofia-y-humanidades",NULL,"","",9999,0,1,False,4,True,"3446","427177",""
4120,NULL,"Escuela de Ciencias Sociales",NULL,"UA","N","",2160,"",NULL,"PU",NULL,0,0,"escuelacienciasociales@undec.edu.ar","https://www.undec.edu.ar/",NULL,"","",9999,0,1,False,2,True,"03825","427200 Int. 2138",""
4119,NULL,"Escuela de Ciencias Humanas y de la Salud",NULL,"UA","N","",2160,"",NULL,"PU",NULL,0,0,"escuelahumanasysalud@undec.edu.ar","https://www.undec.edu.ar/",NULL,"","",9999,0,1,False,2,True,"03825","427200 Int. 2140",""
3624,NULL,"Rectorado",NULL,"UA","N","",39,"E326",NULL,"PU",NULL,0,0,"webmaster@uner.edu.ar","www.uner.edu.ar","073001621","https://www.facebook.com/UNERoficial/","https://twitter.com/uneroficial",9999,0,2,True,1,True,"03442","421500",""
4179,NULL,"Departamento de Investigación y Doctorado",NULL,"UA","N","",64,"",NULL,"PR",NULL,0,0,"sac_operaciones@itba.edu.ar","https://www.itba.edu.ar/","070212216","","",9999,0,1,False,2,True,"0810","2224822",""
3283,NULL,"Facultad de Ciencias para la Innovación y el Desarrollo",NULL,"UA","N","",72,"",NULL,"PR",NULL,0,0,"innovacion.desarrollo@ucse.edu.ar","http://newsite.ucse.edu.ar/index.php/ucse-sedes/santiago-del-estero","078607108","","",9999,0,1,True,2,True,"385","4211777",""
3011,NULL,"Facultad de Ingeniería Y Tecnología Informática",NULL,"UA","N","",73,"",NULL,"PR",NULL,0,0,"ingresos@ub.edu.ar","www.ub.edu.ar","070207219","","",9999,0,1,True,2,True,"11","47885400",""
4114,NULL,"Escuela Preuniversitaria de Formación Profesional de la Universidad Nacional de Hurlingham",NULL,"PRE","N","",2997,"",NULL,"PU",NULL,0,0,"secretaria.academica@unahur.edu.ar","http://unahur.edu.ar",NULL,"","",9999,0,1,False,2,True,"011","20785200","20785200"
3234,NULL,"Jardín de Infantes Rosario Vera Peñaloza",NULL,"PRE","N","",50,"",NULL,"PU",NULL,0,0,"rosarioveraunrc@gmail.com","https://www.unrc.edu.ar/unrc/bienestar/jrosarito.php","071403408","Rosario Vera Peñaloza Río IV","",9999,0,1,True,2,True,"358","4645757",""
3637,NULL,"Rectorado",NULL,"UA","N","",50,"",NULL,"PU",NULL,0,0,"infoacad@rec.unrc.edu.ar","www.unrc.edu.ar","071403409","","",9999,0,2,True,1,True,"358","4676302","4676148"
3721,NULL,"Sede General La Madrid",NULL,"UA","N","",56,"",NULL,"PU",NULL,0,0,"Secac@uns.edu.ar","www.uns.edu.ar","070605340","","",9999,0,1,False,4,True,"02286","420605",""
364,"","Sede Regional Tartagal","","UA","N","",52,"","","PU","",0,0,"unsata@unsa.edu.ar","http://www.unsa.edu.ar/","076603708","","",9999,0,1,True,2,True,"03873","421182","425779"
3445,NULL,"Facultad de Educación - Delegación Santa Rosa",NULL,"UA","N","FE",38,"",NULL,"PU",NULL,0,0,"alumnos@educacion.uncuyo.edu.ar","www.educacion.uncuyo.edu.ar","075001581","","",9999,0,1,True,4,True,"0261","4236671","4236671"
3110,"","Área Transdepartamental de Artes Multimediales","","UA","N","",3101,"","","PU","",0,0,"multimedia.academica@una.edu.ar","multimedia.una.edu.ar","070213005","","",9999,0,1,True,2,True,"011","48165558",""
3179,NULL,"Escuela Superior de Medicina",NULL,"UA","N","",47,"",NULL,"PU",NULL,0,0,"academicamedicina@mdp.edu.ar","https://medicina.mdp.edu.ar/","070603011","","",9999,0,1,True,2,True,"0223","4753150",""
4122,NULL,"Facultad de Psicología",NULL,"UA","N","PS",107,"",NULL,"PR",NULL,0,0,"cpaca@atlantida.edu.ar","http://www.atlantida.edu.ar/",NULL,"","",9999,0,1,False,2,True,"223","6206387","6206387"
3324,NULL,"Centro de Política y Territorio",NULL,"PRE","N","",2624,"",NULL,"PU",NULL,0,0,"planificacionacademicaunaj@gmail.com","www.unaj.edu.ar/institucional/secretaria-de-politica-y-territorio","070601004","","",9999,0,1,True,2,True,"011","42756100",""
4117,NULL,"Instituto de Estudios Iniciales",NULL,"UA","N","IEI",2624,"",NULL,"PU",NULL,0,0,"institutoestudiosiniciales@unaj.edu.ar","https://www.unaj.edu.ar/carreras/estudios-iniciales/",NULL,"www.facebook.com/InstitutoDeEstudiosIniciales","",9999,0,1,False,2,True,"011","42756100",""
3913,NULL,"CEYFE - La Falda",NULL,"UA","N","",55,"",NULL,"PU",NULL,0,0,"","",NULL,"","",2018,1,1,False,3,False,"0385","4509500",""
3457,NULL,"Escuela de Agricultura, Ganadería y Granja",NULL,"PRE","N","",55,"",NULL,"PU",NULL,0,0,"eagg@unse.edu.ar","https://faya.unse.edu.ar/index.php/escuela-de-agricultura-ganaderia-y-granja/","078604032","","",9999,0,1,False,2,True,"0385","45095001",""
756,"","Instituto Académico Pedagógico de Ciencias Humanas","","UA","N","ICH",699,"","","PU","",0,0,"informes@unvm.edu.ar","http://www.unvm.edu.ar","071404405","","",9999,0,1,True,2,True,"353","4539134",""
4104,NULL,"Delegación Valles Sanjuaninos de la Universidad Nacional de San Juan",NULL,"UA","N","",53,"",NULL,"PU",NULL,0,0,"vallessanjuaninos@unsj.edu.ar","www.vallessanjuaninos.unsj.edu.ar",NULL,"","",9999,0,1,False,4,True,"0264","6221046",""
4085,NULL,"Expansión Tilcara",NULL,"UA","N","",40,"",NULL,"PU",NULL,0,0,"eatilcara@fhycs.unju.edu.ar","http://www.fhycs.unju.edu.ar/expansion/tilcara.html","073802019","","",9999,0,1,False,4,True,"0388","5059007",""
853,"","Departamento Académico Buenos Aires","","UA","N","DABA",72,"","","PR","",0,0,"info.daba@ucse.edu.ar","https://www.ucse.edu.ar/buenos-aires/","070607101","","",9999,0,1,True,2,True,"11","47432608","62339038"
594,"","Facultad de Diseño y Comunicación","","UA","N","UP",96,"","","PR","",0,0,"informes@palermo.edu","www.palermo.edu","070208502","","",9999,0,1,True,2,True,"011","5199-4500",""
4171,NULL,"Colegio Agropecuario Realicó",NULL,"PRE","N","",41,"",NULL,"PU",NULL,0,0,"rectora.car@vet.unlpam.edu.ar","http://www.vet.unlpam.edu.ar/","074202209","","",9999,0,1,False,3,True,"02302","15532444",""
3286,NULL,"Extensión Aúlica Villa Constitución",NULL,"UA","N","UCEL",104,"2000",NULL,"PR",NULL,0,0,"secadministrativa@ucel.edu.ar","www.ucel.edu.ar","078213708","","",2022,0,1,True,4,True,"","",""
3387,NULL,"Escuela de Medicina, Centro Formador Sanatorio Modelo de Rufino y Hospital SAMCO de Rufino",NULL,"UA","N","",2113,"",NULL,"PR",NULL,0,0,"","","078211109","","",2018,0,1,True,2,True,NULL,NULL,NULL
3937,NULL,"Universidad Nacional de General Sarmiento",NULL,"UA","N","",87,"",NULL,"PU",NULL,0,0,"","",NULL,"","",2017,0,1,False,1,True,NULL,NULL,NULL
618,"","Facultad de Ciencia y Tecnología","","UA","N","USAL",80,"","","PR","",0,0,"uds-cytc@salvador.edu.ar","www.salvador.edu.ar","070207825","","",2016,0,1,True,2,True,NULL,NULL,NULL
3385,NULL,"Escuela de Medicina, Centro Formador Hospital Italiano Garibaldi",NULL,"UA","N","",2113,"",NULL,"PR",NULL,0,0,"","","078211106","","",2018,0,1,True,2,True,NULL,NULL,NULL
4112,NULL,"Centro Universitario de Innovación de La Matanza",NULL,"UA","N","",33,"",NULL,"PU",NULL,0,0,"doeinfo@rec.uba.ar","https://www.cbc.uba.ar/",NULL,"","",9999,0,1,False,4,True,"011","52855000",NULL
